Scale,user_id,sex,age,median_age,sum_score,sum_score_t2,days_to_followup,nfc1,nfc2,nfc3,nfc4,nfc5,nfc6,nfc7,nfc8,nfc9,nfc10,nfc11,nfc12,nfc13,nfc14,nfc15,nfc16,nfc17,nfc18
Need for Cognition,111816,f,22,low,61,62,0.007,3,2,5,3,6,1,3,1,1,6,2,2,1,5,6,6,2,6
Need for Cognition,112446,f,23,low,83,78,1.207,5,5,5,6,6,3,4,3,3,6,6,6,4,5,5,3,5,3
Need for Cognition,112522,f,50,high,92,95,1.502,4,6,6,6,6,4,6,2,5,6,6,6,5,6,6,4,5,3
Need for Cognition,112558,m,29,high,85,87,0.038,2,6,6,6,3,4,6,5,5,6,6,6,3,4,6,5,3,3
Need for Cognition,112660,f,34,high,71,67,9.018,4,5,6,5,2,4,6,2,1,5,4,6,3,4,5,1,3,5
Need for Cognition,112746,f,32,high,93,108,0.007,5,5,6,6,6,5,6,3,6,5,5,6,5,4,5,4,6,5
Need for Cognition,113268,f,26,low,92,93,0.007,5,6,5,6,5,4,5,3,6,5,6,5,5,6,6,4,5,5
Need for Cognition,113293,f,36,high,70,67,3.194,5,2,3,6,4,3,3,3,3,4,4,6,3,4,3,4,4,6
Need for Cognition,113428,f,35,high,83,78,0.021,4,5,5,5,5,3,4,4,5,5,5,5,4,5,5,5,4,5
Need for Cognition,113720,m,58,high,95,94,0.17,6,6,6,6,6,5,6,5,3,6,6,6,4,6,2,5,6,5
Need for Cognition,113953,f,56,high,84,88,0.652,1,6,6,6,6,5,1,2,6,5,6,6,4,5,6,3,6,4
Need for Cognition,114346,f,43,high,100,95,0.212,5,5,6,6,6,5,6,5,5,5,6,6,5,6,6,5,6,6
Need for Cognition,114418,f,55,high,84,90,5.727,5,6,5,5,5,3,3,4,5,5,6,6,5,5,5,5,2,4
Need for Cognition,114550,f,32,high,66,78,2.304,4,3,4,3,3,4,4,4,3,4,4,5,2,2,4,4,5,4
Need for Cognition,115380,f,34,high,85,83,317.024,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4
Need for Cognition,115810,f,30,high,70,72,1.956,5,4,5,4,5,3,3,4,3,5,5,4,2,4,6,4,2,2
Need for Cognition,118564,f,20,low,96,103,0.01,5,6,4,6,6,6,3,6,5,6,6,5,4,6,6,6,6,4
Need for Cognition,118719,m,52,high,103,103,5.438,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,5,4,6
Need for Cognition,119749,f,20,low,65,63,0.018,5,6,1,2,2,5,4,2,2,4,4,4,4,4,4,3,3,6
Need for Cognition,120885,f,21,low,84,79,0.006,4,5,5,5,5,5,5,5,5,4,6,5,4,5,2,4,5,5
Need for Cognition,120981,f,18,low,50,55,0.013,2,1,4,4,2,2,1,4,2,2,1,5,1,1,3,6,4,5
Need for Cognition,121367,f,29,high,96,94,12.297,1,6,6,6,6,1,6,4,6,6,6,6,6,6,6,6,6,6
Need for Cognition,121496,f,57,high,82,95,0.444,3,5,5,5,6,2,6,5,5,5,5,6,4,5,2,3,6,4
Need for Cognition,122220,f,27,low,68,78,0.026,5,5,6,5,3,5,2,2,2,6,5,6,2,1,3,1,5,4
Need for Cognition,122549,f,63,high,77,82,63.813,4,5,5,6,4,4,4,2,2,4,6,6,5,5,2,6,3,4
Need for Cognition,123134,m,22,low,105,101,16.938,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
Need for Cognition,123684,m,18,low,78,86,0.012,5,6,4,6,6,3,2,4,3,6,5,6,3,6,4,4,3,2
Need for Cognition,124268,f,18,low,57,81,0.016,3,3,1,4,3,4,1,5,1,4,6,5,3,4,2,4,1,3
Need for Cognition,124303,f,21,low,70,70,0.697,3,5,3,5,3,3,4,5,3,5,4,4,2,5,5,3,3,5
Need for Cognition,124528,f,18,low,66,66,0.274,5,4,3,3,4,4,3,2,3,5,5,1,5,6,4,3,2,4
Need for Cognition,124600,f,57,high,93,96,0.019,5,6,6,6,6,2,6,6,6,6,5,6,2,6,6,6,6,1
Need for Cognition,124623,f,27,low,85,86,0.008,5,5,6,5,5,5,3,4,5,5,6,5,5,2,6,5,3,5
Need for Cognition,124828,m,26,low,88,87,0.007,5,5,6,5,5,4,5,4,5,5,5,6,5,5,5,5,4,4
Need for Cognition,125272,m,18,low,54,34,1.747,1,4,3,3,1,3,3,1,1,5,3,4,3,5,4,1,3,6
Need for Cognition,125441,f,22,low,91,85,0.012,5,6,5,6,6,5,3,4,4,4,6,6,4,6,6,4,5,6
Need for Cognition,125487,m,43,high,91,89,4.644,6,5,6,6,6,5,6,3,4,5,6,6,1,6,4,4,6,6
Need for Cognition,125903,m,27,low,85,83,0.02,4,5,6,5,4,3,5,5,5,5,5,6,5,5,6,3,5,3
Need for Cognition,126060,f,49,high,79,75,0.012,5,2,6,5,6,3,6,3,3,4,4,4,4,6,4,4,4,6
Need for Cognition,129230,m,41,high,66,57,0.004,3,4,6,2,2,5,2,4,4,4,4,4,4,4,5,2,1,6
Need for Cognition,130478,f,40,high,104,102,0.114,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,5,5
Need for Cognition,130822,f,48,high,61,82,0.945,3,3,6,4,5,1,4,1,5,2,2,4,1,4,5,3,2,6
Need for Cognition,131510,f,54,high,91,93,184.035,3,6,6,6,6,6,6,5,5,6,5,6,3,6,6,1,3,6
Need for Cognition,131955,f,38,high,100,78,0.032,6,5,6,6,6,5,6,4,4,6,6,6,5,6,6,6,6,5
Need for Cognition,132095,f,59,high,67,81,159.378,2,4,5,5,5,4,4,5,3,4,4,4,2,5,2,3,2,4
Need for Cognition,133469,m,49,high,76,75,0.925,4,4,5,3,5,4,4,4,4,5,4,4,4,5,5,4,5,3
Need for Cognition,133942,f,21,low,97,98,3.874,5,6,6,5,5,5,6,4,3,6,6,6,5,6,6,5,6,6
Need for Cognition,134252,m,54,high,107,107,0.009,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6
Need for Cognition,135864,m,33,high,69,71,12.447,4,4,5,2,2,2,2,2,3,5,5,6,4,6,5,3,4,5
Need for Cognition,138760,f,31,high,69,66,0.562,3,4,4,5,5,2,3,2,4,6,4,5,3,4,3,4,4,4
Need for Cognition,139399,m,45,high,97,107,0.006,5,6,6,5,6,5,6,6,5,6,6,5,6,5,6,3,4,6
Need for Cognition,140165,f,31,high,65,63,0.014,3,4,5,5,4,3,4,4,5,2,3,5,3,1,2,5,3,4
Need for Cognition,140953,f,24,low,91,86,1.273,4,5,6,6,6,4,6,6,5,4,5,6,4,5,6,5,6,2
Need for Cognition,141097,f,52,high,61,70,4.688,3,4,4,3,5,4,2,3,2,4,3,4,2,3,4,2,5,4
Need for Cognition,141276,f,42,high,71,71,0.008,4,4,5,4,5,3,4,4,3,4,5,5,4,3,4,3,5,2
Need for Cognition,141929,f,45,high,92,95,0.918,5,6,6,6,6,4,5,5,4,6,5,6,5,6,4,6,3,4
Need for Cognition,141968,f,51,high,83,90,0.112,5,6,6,5,2,3,4,3,4,6,6,5,6,6,6,5,2,3
Need for Cognition,142215,f,22,low,81,92,0.008,5,6,6,4,4,4,4,4,6,4,4,5,5,4,5,2,5,4
Need for Cognition,142321,m,58,high,94,87,0.016,5,6,5,5,6,5,2,6,5,5,6,5,5,6,6,6,4,6
Need for Cognition,142440,m,42,high,79,67,4.466,3,5,5,4,4,3,5,3,2,5,5,6,5,6,4,5,4,5
Need for Cognition,142478,f,61,high,99,97,0.013,6,6,6,6,5,6,5,5,5,6,6,6,5,5,6,6,4,5
Need for Cognition,142558,f,30,high,62,55,0.009,5,3,3,4,2,3,2,2,2,5,6,3,3,3,4,3,5,4
Need for Cognition,142608,f,39,high,103,98,14.443,5,6,6,6,6,6,6,4,5,6,6,6,5,6,6,6,6,6
Need for Cognition,142718,m,28,low,95,93,0.006,5,6,6,5,6,5,5,6,1,5,6,6,5,6,6,5,5,6
Need for Cognition,142901,f,19,low,74,76,0.245,4,3,5,4,4,3,5,1,1,5,4,6,6,4,6,3,4,6
Need for Cognition,143230,f,35,high,77,73,0.065,4,4,5,5,5,5,3,3,3,5,4,5,3,6,5,3,4,5
Need for Cognition,143244,m,56,high,97,97,40.033,6,6,6,6,6,5,6,5,5,6,6,6,5,5,5,6,2,5
Need for Cognition,144503,m,25,low,82,81,0.006,5,3,5,4,5,4,5,5,5,6,4,5,4,5,3,4,5,5
Need for Cognition,145065,f,50,high,83,91,0.034,4,6,6,4,4,5,5,5,3,4,6,6,3,5,4,4,5,4
Need for Cognition,145120,f,54,high,103,97,0.059,6,6,6,6,6,5,5,5,5,6,6,6,5,6,6,6,6,6
Need for Cognition,146235,f,50,high,94,98,0.008,5,6,5,6,6,5,5,3,6,6,5,6,5,6,1,6,6,6
Need for Cognition,148352,f,34,high,99,96,0.016,5,5,6,6,6,5,5,5,6,5,6,6,5,6,5,5,6,6
Need for Cognition,148614,f,27,low,81,64,0.031,5,6,4,5,5,1,5,5,5,5,5,4,4,3,4,5,4,6
Need for Cognition,149450,f,54,high,94,88,1.216,6,6,6,5,5,6,3,4,4,5,6,6,5,6,6,4,5,6
Need for Cognition,149910,f,41,high,78,79,0.978,4,4,6,4,4,2,5,4,4,5,5,6,4,6,2,1,6,6
Need for Cognition,149950,f,50,high,83,75,0.021,4,6,5,5,6,2,5,2,6,6,6,6,1,5,5,5,6,2
Need for Cognition,150183,f,28,low,101,94,0.011,5,6,6,6,6,4,6,6,4,6,6,6,6,6,6,5,6,5
Need for Cognition,150558,f,19,low,37,45,0.017,1,2,1,1,4,2,3,3,2,3,1,1,2,1,4,2,2,2
Need for Cognition,150618,f,24,low,101,102,66.396,6,5,6,5,6,6,6,4,5,6,6,6,6,6,6,5,5,6
Need for Cognition,150692,f,35,high,71,62,0.009,3,3,3,4,3,2,4,6,3,4,5,5,3,4,4,3,6,6
Need for Cognition,150698,f,25,low,73,76,2.031,5,5,2,4,4,4,3,4,4,5,5,5,4,4,5,4,3,3
